CODGEO;LIBGEO;MED14
02350;Goudelancourt-lès-Pierrepont;16991,2
02351;Goussancourt;18982,8
02352;Gouy;16877,0
02353;Grandlup-et-Fay;18551,5
02354;Grandrieux;
02355;Gricourt;20700,0
02356;Grisolles;18882,3
02357;Gronard;
02358;Grougis;17715,1
02359;Grugies;19511,9
02360;Guignicourt;20381,0
02361;Guise;15463,9
02362;Guivry;19947,2
02363;Guny;17202,9
02364;Guyencourt;21648,1
02366;Hannapes;16979,6
02367;Happencourt;19542,7
02368;Haramont;21830,8
02369;Harcigny;16892,7
02370;Hargicourt;19166,0
02371;Harly;19585,0
02372;Hartennes-et-Taux;19683,9
02373;Hary;18740,0
02374;Lehaucourt;17903,0
02375;Hautevesnes;22155,8
02376;Hauteville;20331,7
02377;Haution;18022,7
02378;La Hérie;18435,3
02379;Le Hérie-la-Viéville;19685,3
02380;Hinacourt;
02381;Hirson;15129,0
02382;Holnon;21424,4
02383;Homblières;21400,7
02384;Houry;
02385;Housset;16898,6
02386;Iron;17198,6
02387;Itancourt;21858,5
02388;Iviers;17871,8
02389;Jaulgonne;20478,6
02390;Jeancourt;19918,7
02391;Jeantes;18351,3
02392;Joncourt;21765,6
02393;Jouaignes;21464,3
02395;Jumencourt;20652,4
02396;Jumigny;
02397;Jussy;18914,5
02398;Juvigny;18969,6
02399;Juvincourt-et-Damary;19834,0
02400;Laffaux;21955,7
02401;Laigny;19641,0
02402;Lanchy;
02403;Landifay-et-Bertaignemont;18273,1
02404;Landouzy-la-Cour;19067,3
02405;Landouzy-la-Ville;18993,8
02406;Landricourt;19985,0
02407;Laniscourt;22160,0
02408;Laon;16048,0
02409;Lappion;18074,0
02410;Largny-sur-Automne;22961,4
02411;Latilly;20087,3
02412;Launoy;18148,3
02413;Laval-en-Laonnois;19682,6
02414;Lavaqueresse;18318,0
02415;Laversine;22624,0
02416;Lemé;18123,3
02417;Lempire;17131,7
02418;Lerzy;18668,3
02419;Leschelle;19159,8
02420;Lesdins;21453,3
02421;Lesges;
02422;Lesquielles-Saint-Germain;17700,8
02423;Leuilly-sous-Coucy;18657,2
02424;Leury;20884,7
02425;Leuze;17113,8
02426;Levergies;20421,4
02427;Lhuys;19173,6
02428;Licy-Clignon;
02429;Lierval;22165,7
02430;Liesse-Notre-Dame;18190,0
02431;Liez;19815,3
02432;Limé;18454,8
02433;Lislet;18635,7
02434;Lizy;21838,7
02435;Logny-lès-Aubenton;
02438;Longpont;20614,0
02439;Longueval-Barbonval;19294,8
02440;Lor;17468,8
02441;Louâtre;20453,5
02442;Loupeigne;
02443;Lucy-le-Bocage;22358,3
02444;Lugny;18394,0
02445;Luzoir;19270,5
02446;Ly-Fontaine;23235,2
02447;Maast-et-Violaine;17704,8
02448;Mâchecourt;14970,7
02449;Macogny;
02450;Macquigny;18065,5
02451;Magny-la-Fosse;19458,8
02452;Maissemy;21405,4
02453;Maizy;19251,0
02454;La Malmaison;18692,4
02455;Malzy;18214,7
02456;Manicamp;18882,0
02457;Marchais;17890,6
02458;Marchais-en-Brie;19536,8
02459;Marcy;22348,6
02460;Marcy-sous-Marle;18105,3
02461;Marest-Dampcourt;19179,3
02462;Mareuil-en-Dôle;18926,7
02463;Marfontaine;
02464;Margival;18882,7
02465;Marigny-en-Orxois;20656,2
02466;Marizy-Sainte-Geneviève;19912,4
02467;Marizy-Saint-Mard;
02468;Marle;16354,3
02469;Marly-Gomont;17980,5
02470;Martigny;16648,8
02471;Martigny-Courpierre;22122,2
02472;Mauregny-en-Haye;19203,3
02473;Mayot;19112,9
02474;Mennessis;19516,0
02475;Menneville;22435,7
