"","x"
"561","Plombier_couvreur_chauffagiste"
"562","Menuisier_charpentier_serrurier"
"563","Macon"
"564","Reparation_autode_materiel_agricole"
"565","Banques_caisses_epargne"
"566","Maison_justicedu_droit"
"567","Conseilpru_hommes"
"568","Ambunce"
"569","boratoire_analysesde_biologie_medicales"
"570","Nombre_salles_dans_structure_culturelle"
"571","Salles_combat_moins_une_aire_pratique_couverte"
"572","Salles_combat.nombre_aires_pratique"
"573","Boucle_randonnee.nombre_circuits"
"574","Port_pisance.Mouilge.nombre_ports_zones"
"575","Port_pisance.Mouilge"
"576","Baignade_amenagee.nombre_aires_pratique"
"577","Salles_multisports_gymnase_moins_une_aire_pratique_couverte"
"578","Salles_multisports_gymnase_.nombre_aires_pratique"
"579","Salles_remise_forme_moins_une_aire_pratique_couverte"
"580","Salles_remise_forme.nombre_aires_pratique"
"581","Bowling_moins_une_aire_jeu_couverte"
"582","Bowling.nombre_aires_jeu"
"583","Sports_nautiques_moins_une_aire_pratique_couverte"
"584","Sports_nautiques.nombre_aires_pratique"
"585","Roller.Skate.Velo_bicrossfreestyle_moins_un_equipement_ecire"
"586","Roller.Skate.Velo_bicrossfreestyle_moins_un_equipement_couvert"
"587","Roller.Skate.Velo_bicrossfreestyle.nombre_pistes"
"588","Roller.Skate.Velo_bicrossfreestyle"
"589","Salles_non_specialisees_moins_un_equipement_ecire"
"590","Salles_non_specialisees_moins_un_equipement_couvert"
"591","Salles_non_specialisees.nombre_equipements_où_exerce_moins_une_activite_physique_sportive"
"592","Terrains_grands_jeux_moins_un_terrain_couvert"
"593","Terrains_grands_jeux.nombre_terrains"
"594","Salles_specialisees_moins_une_aire_pratique_couverte"
"595","Salles_specialisees.nombre_aires_pratique"
"596","Pteauxterrains_jeux_exterieurs_moins_une_aire_pratique_eciree"
"597","Pteauxterrains_jeux_exterieurs_moins_une_aire_pratique_couverte"
"598","Pteauxterrains_jeux_exterieurs.nombre_aires_pratique"
"599","Pteauxterrains_jeux_exterieurs"
"600","Sports_gce_moins_une_aire_pratique_couverte"
"601","Sports_gce.nombre_aires_pratique"
"602","Parcours_sportif_sante_moins_un_parcours_ecire"
"603","Parcours_sportif_sante_moins_un_parcours_couvert"
"604","Parcours_sportif_sante.nombre_parcours"
"605","Terrain_golf_moins_une_aire_pratique_couverte"
"606","Terrain_golf.nombre_aires_pratique"
"607","Athletisme_moins_une_aire_pratique_eciree"
"608","Athletisme_moins_une_aire_pratique_couverte"
"609","Athletisme.nombre_aires_pratique"
"610","Centre_equestre_moins_un_equipement_ecire"
"611","Centre_equestre_moins_un_equipement_couvert"
"612","Centre_equestre.nombre_carrieres_maneges"
"613","Domaine_skiable.nombre_pistes"
"614","equipement_cyclisme_moins_une_piste_eciree"
"615","equipement_cyclisme_moins_une_piste_couverte"
"616","equipement_cyclisme.nombre_pistes"
"617","Tennis_moins_un_court_ecire"
"618","Tennis_moins_un_court_couvert"
"619","Tennis.nombre_courts"
"620","Boulodrome_moins_un_terrain_ecire"
"621","Boulodrome_moins_un_terrain_couvert"
"622","Boulodrome.nombre_terrains"
"623","Bassin_natation_moins_un_bassin_couvert"
"624","Bassin_natation.nombre_bassins_natation_sportive_ludique"
"625","Gare_voyageurs_interet_local"
"626","Gare_voyageurs_interet_regional"
"627","Gare_voyageurs_interet_national"
"628","Taxi.VTC"
"629","MaisonsImmeubles_dur_DOM"
"630","MaisonsImmeubles_bois_DOM"
"631","Menages_deux_voituresplus"
"632","Menages_une_voiture"
"633","Menages_moins_une_voiture"
"634","Menages_moins_un_parking"
"635","Res_princ_tout_egout_DOM"
"636","Res_princ_Bain_Douche_WC_DOM"
"637","Res_princ_eau_chaude_DOM"
"638","Res_princ_Chauffage_Individuel_elec_MET"
"639","Anc_tot_Emmengt_Res_princ_occ_gratuit_annees"
"640","Anc_tot_Emmengt_Res_princ_HLM_louees_vides_annees"
"641","Anc_tot_Emmengt_Res_princ_occLocataires_annees"
"642","Anc_tot_Emmengt_Res_princ_occProprietaires_annees"
"643","Pers_Res_princ_occupees_Proprietaires"
"644","Res_princ_HLM_louee_vide"
"645","Res_princ_occupees_Proprietaires"
"646","Pieces_Res_princ_Men_emmenages_depuis_10_ansplus"
"647","Pieces_Res_princ_Men_emmenages_entre_5.9_ans"
"648","Pieces_Res_princ_Men_emmenages_entre_2.4_ans"
"649","Pieces_Res_princ_Men_emmenages_moins_2_ans"
"650","Pop_men_emmenages_depuis_10_ansplus"
"651","Pop_menages"
"652","Menages_emmenages_depuis_10_ansplus"
"653","Menages_emmenages_entre_5.9_ans"
"654","Menages_emmenages_entre_2.4_ans"
"655","Menages_emmenages_moins_2_ans"
"656","Menages2"
"657","Res_princ_appart_2006_2013"
"658","Res_princ_appart_1991_2005"
"659","Res_princ_appart_1971_1990"
"660","Res_princ_appart_1946_1970"
"661","Res_princ_appart_1919_1945"
"662","Res_princ_appart_avt_1919"
"663","Res_princ_appart_avt"
"664","Res_princ_maison_avt"
"665","Res_princ_avt"
"666","Res_princ_120_m2plus"
"667","Pieces_res_princ_appartement"
"668","Res_princ_appartement"
