dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
16;17;2021-07-08;4917;301;23113.0;21.3;1.3
16;24;2021-07-08;9922;2890;22805.0;43.5;12.7
16;29;2021-07-08;6454;2547;16488.0;39.1;15.4
16;39;2021-07-08;16663;7412;37221.0;44.8;19.9
16;49;2021-07-08;24277;12415;42419.0;57.2;29.3
16;59;2021-07-08;35602;24946;48767.0;73.0;51.2
16;64;2021-07-08;20864;17462;25626.0;81.4;68.1
16;69;2021-07-08;21999;19148;25227.0;87.2;75.9
16;74;2021-07-08;21547;19774;22007.0;97.9;89.9
16;79;2021-07-08;13830;13038;14324.0;96.6;91.0
16;80;2021-07-08;24529;23039;29131.0;84.2;79.1
17;04;2021-07-08;22;3;26217.0;0.1;0.0
17;09;2021-07-08;14;2;32589.0;0.0;0.0
17;11;2021-07-08;17;3;14224.0;0.1;0.0
17;17;2021-07-08;8539;561;43133.0;19.8;1.3
17;24;2021-07-08;20381;7258;41888.0;48.7;17.3
17;29;2021-07-08;11432;4979;25772.0;44.4;19.3
17;39;2021-07-08;31049;14492;66631.0;46.6;21.7
17;49;2021-07-08;45543;24494;78405.0;58.1;31.2
17;59;2021-07-08;61818;44477;85909.0;72.0;51.8
17;64;2021-07-08;38245;32213;47547.0;80.4;67.7
17;69;2021-07-08;45010;39442;51529.0;87.3;76.5
17;74;2021-07-08;46984;43497;47920.0;98.0;90.8
17;79;2021-07-08;29335;27693;30024.0;97.7;92.2
17;80;2021-07-08;46222;42938;55292.0;83.6;77.7
18;04;2021-07-08;9;6;13630.0;0.1;0.0
18;09;2021-07-08;5;0;15979.0;0.0;0.0
18;11;2021-07-08;16;0;6832.0;0.2;0.0
18;17;2021-07-08;3926;362;19484.0;20.1;1.9
18;24;2021-07-08;9328;3519;18426.0;50.6;19.1
18;29;2021-07-08;5443;2473;13223.0;41.2;18.7
18;39;2021-07-08;14361;7399;31552.0;45.5;23.5
18;49;2021-07-08;20839;12442;35301.0;59.0;35.2
18;59;2021-07-08;29154;22083;41611.0;70.1;53.1
18;64;2021-07-08;16806;14397;21471.0;78.3;67.1
18;69;2021-07-08;17272;15271;21413.0;80.7;71.3
18;74;2021-07-08;18011;16620;20101.0;89.6;82.7
18;79;2021-07-08;11986;10661;12438.0;96.4;85.7
18;80;2021-07-08;20614;18378;24943.0;82.6;73.7
19;04;2021-07-08;3;0;9787.0;0.0;0.0
19;09;2021-07-08;3;0;12051.0;0.0;0.0
19;11;2021-07-08;17;3;5142.0;0.3;0.1
19;17;2021-07-08;3120;302;15894.0;19.6;1.9
19;24;2021-07-08;7567;3296;15462.0;48.9;21.3
19;29;2021-07-08;4526;2308;10380.0;43.6;22.2
19;39;2021-07-08;12206;6951;24486.0;49.8;28.4
19;49;2021-07-08;17465;11116;29167.0;59.9;38.1
19;59;2021-07-08;23361;17792;33019.0;70.8;53.9
19;64;2021-07-08;13290;11131;17701.0;75.1;62.9
19;69;2021-07-08;14360;12379;18195.0;78.9;68.0
19;74;2021-07-08;15037;13636;16310.0;92.2;83.6
19;79;2021-07-08;9823;9137;10544.0;93.2;86.7
19;80;2021-07-08;18490;16862;22198.0;83.3;76.0
21;04;2021-07-08;17;5;25826.0;0.1;0.0
21;09;2021-07-08;6;0;29383.0;0.0;0.0
21;11;2021-07-08;21;4;12159.0;0.2;0.0
21;17;2021-07-08;8137;952;38757.0;21.0;2.5
21;24;2021-07-08;23527;10322;51370.0;45.8;20.1
21;29;2021-07-08;13889;6730;29584.0;46.9;22.7
21;39;2021-07-08;31329;16872;62868.0;49.8;26.8
21;49;2021-07-08;40051;24186;65826.0;60.8;36.7
21;59;2021-07-08;49352;36303;68688.0;71.8;52.9
21;64;2021-07-08;25743;21567;33480.0;76.9;64.4
21;69;2021-07-08;25849;22446;32324.0;80.0;69.4
21;74;2021-07-08;26818;24432;29647.0;90.5;82.4
21;79;2021-07-08;16982;15942;18184.0;93.4;87.7
21;80;2021-07-08;29096;26967;34790.0;83.6;77.5
22;04;2021-07-08;14;2;27035.0;0.1;0.0
22;09;2021-07-08;6;1;33070.0;0.0;0.0
22;11;2021-07-08;25;1;14357.0;0.2;0.0
22;17;2021-07-08;9659;573;43994.0;22.0;1.3
22;24;2021-07-08;22526;9419;36952.0;61.0;25.5
22;29;2021-07-08;12072;5845;23678.0;51.0;24.7
22;39;2021-07-08;31936;17403;60806.0;52.5;28.6
22;49;2021-07-08;46563;28720;72804.0;64.0;39.4
22;59;2021-07-08;60858;47215;80453.0;75.6;58.7
22;64;2021-07-08;36413;31612;43408.0;83.9;72.8
22;69;2021-07-08;39771;35581;44297.0;89.8;80.3
22;74;2021-07-08;42441;39428;40776.0;99.0;96.7
22;79;2021-07-08;24540;23189;24257.0;99.0;95.6
22;80;2021-07-08;43740;40793;50299.0;87.0;81.1
23;04;2021-07-08;3;1;4191.0;0.1;0.0
